row_index,pair_index,name_1,name_2,effective_utilization,fidelity,util_source,fidelity_source,backend,shots,csv_effective_utilization,csv_fidelity,job_id,json_file,utilization_file,pareto_rank,topk_orig,topk_new
0,0,BV-4,HS-1-4,0.05585392051557465,0.6821500004892418,utilization_file,hellinger_mean,ibm_torino,1000,0.2751322751322751,0.9669733605712804,d63s1lrc4tus73ff09g0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00000_BV-4__HS-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_resume_demo_00000_BV-4__HS-1-4_utilization.json,6,True,True
1,1,BV-4,TL-1-4,0.05585392051557465,0.6925305654075751,utilization_file,hellinger_mean,ibm_torino,1000,0.2751322751322751,0.96624557892355,d63s24jtraac73bhllig,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00001_BV-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_resume_demo_00001_BV-4__TL-1-4_utilization.json,5,True,True
2,2,QAOA-R3-4,TL-1-4,0.040100250626566414,0.9917114090702607,utilization_file,hellinger_mean,ibm_torino,1000,0.1975308641975308,0.989826966030489,d63s29btraac73bhllp0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00002_QAOA-R3-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_resume_demo_00002_QAOA-R3-4__TL-1-4_utilization.json,1,False,False
3,3,QAOA-P1-4,TL-1-4,0.047619047619047616,0.9903572631381097,utilization_file,hellinger_mean,ibm_torino,1000,0.2345679012345679,0.9797236817736747,d63s35rc4tus73ff0bc0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00003_QAOA-P1-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00003_QAOA-P1-4__TL-1-4_utilization.json,2,True,True
4,4,QSVM-4,W-STATE-4,0.05468215994531784,0.9572136806336207,utilization_file,hellinger_mean,ibm_torino,1000,0.2693602693602693,0.9461424748017596,d63s39rtraac73bhlmvg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00004_QSVM-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00004_QSVM-4__W-STATE-4_utilization.json,3,False,True
5,5,GHZ-4,VQE-1-4,0.055137844611528826,0.8665409386149423,utilization_file,hellinger_mean,ibm_torino,1000,0.2716049382716049,0.9079923754492408,d63s3dns6ggc73fia880,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00005_GHZ-4__VQE-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00005_GHZ-4__VQE-1-4_utilization.json,5,False,True
6,6,QSVM-4,TL-1-4,0.04921394395078606,0.9909096885522904,utilization_file,hellinger_mean,ibm_torino,1000,0.2424242424242423,0.9903547930925916,d63s3hjc4tus73ff0br0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00006_QSVM-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00006_QSVM-4__TL-1-4_utilization.json,1,False,True
7,7,HS-1-4,W-STATE-4,0.053467000835421885,0.9630840460590404,utilization_file,hellinger_mean,ibm_torino,1000,0.2633744855967078,0.9382333126004077,d63s3ljtraac73bhlnfg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00007_HS-1-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00007_HS-1-4__W-STATE-4_utilization.json,4,False,True
8,8,HS-1-4,QSVM-4,0.04921394395078606,0.9805033443369642,utilization_file,hellinger_mean,ibm_torino,1000,0.2424242424242423,0.9852383440044676,d63s3qrc4tus73ff0c6g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00008_HS-1-4__QSVM-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00008_HS-1-4__QSVM-4_utilization.json,3,True,True
9,9,QAOA-P1-4,QSVM-4,0.05764411027568922,0.9857424688243916,utilization_file,hellinger_mean,ibm_torino,1000,0.2839506172839506,0.991425842051163,d63s403c4tus73ff0cdg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00009_QAOA-P1-4__QSVM-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00009_QAOA-P1-4__QSVM-4_utilization.json,2,True,True
10,10,QSVM-4,VQE-1-4,0.046479835953520156,0.9382318492395172,utilization_file,hellinger_mean,ibm_torino,1000,0.2289562289562289,0.9523354679809812,d63s43rc4tus73ff0ci0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00010_QSVM-4__VQE-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00010_QSVM-4__VQE-1-4_utilization.json,5,True,True
11,11,BV-4,QAOA-P1-4,0.04511278195488721,0.6888906096380802,utilization_file,hellinger_mean,ibm_torino,1000,0.2222222222222222,0.9571476503407436,d63s4l3c4tus73ff0d40,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00011_BV-4__QAOA-P1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00011_BV-4__QAOA-P1-4_utilization.json,10,True,False
12,12,BV-4,QSVM-4,0.046479835953520156,0.6900434566713998,utilization_file,hellinger_mean,ibm_torino,1000,0.2289562289562289,0.9618970423425632,d63s4pfs6ggc73fia9sg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00012_BV-4__QSVM-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00012_BV-4__QSVM-4_utilization.json,9,True,False
13,13,QAOA-P1-4,VQE-1-4,0.04511278195488721,0.9404433929989873,utilization_file,hellinger_mean,ibm_torino,1000,0.2222222222222222,0.9512351790013392,d63s5ufs6ggc73fiab80,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00013_QAOA-P1-4__VQE-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00013_QAOA-P1-4__VQE-1-4_utilization.json,5,True,True
14,14,BV-4,GHZ-4,0.055137844611528826,0.637704591789449,utilization_file,hellinger_mean,ibm_torino,1000,0.2716049382716049,0.934384568387635,d63s63ao8gvs73f3p45g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00014_BV-4__GHZ-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00014_BV-4__GHZ-4_utilization.json,7,True,True
15,15,GHZ-4,W-STATE-4,0.04678362573099415,0.9069829089443973,utilization_file,hellinger_mean,ibm_torino,1000,0.2304526748971193,0.9058511999682284,d63s68io8gvs73f3p4cg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00015_GHZ-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00015_GHZ-4__W-STATE-4_utilization.json,8,True,True
16,16,GHZ-4,QAOA-P1-4,0.042606516290726815,0.9304782564764774,utilization_file,hellinger_mean,ibm_torino,1000,0.2098765432098765,0.9593879848887724,d63s6cfs6ggc73fiabsg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00016_GHZ-4__QAOA-P1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00016_GHZ-4__QAOA-P1-4_utilization.json,6,True,False
17,17,VQE-1-4,W-STATE-4,0.05012531328320802,0.9110645598934706,utilization_file,hellinger_mean,ibm_torino,1000,0.2469135802469135,0.9005,d63s6lrtraac73bhlqsg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00017_VQE-1-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00017_VQE-1-4__W-STATE-4_utilization.json,7,False,True
18,18,QAOA-R3-4,VQE-1-4,0.03866809881847476,0.9438103655884251,utilization_file,hellinger_mean,ibm_torino,1000,0.1904761904761904,0.9434048699520952,d63s6pjtraac73bhlr1g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00018_QAOA-R3-4__VQE-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00018_QAOA-R3-4__VQE-1-4_utilization.json,6,False,False
19,19,HS-1-4,VQE-1-4,0.05585392051557465,0.9421722085107975,utilization_file,hellinger_mean,ibm_torino,1000,0.2751322751322751,0.9536382348441136,d63s6tfs6ggc73fiacgg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00019_HS-1-4__VQE-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00019_HS-1-4__VQE-1-4_utilization.json,4,True,True
20,20,BV-4,QAOA-R3-4,0.03866809881847476,0.679400801228571,utilization_file,hellinger_mean,ibm_torino,1000,0.1904761904761904,0.9651180204043308,d63s713traac73bhlra0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00020_BV-4__QAOA-R3-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00020_BV-4__QAOA-R3-4_utilization.json,11,True,False
21,21,TL-1-4,W-STATE-4,0.053467000835421885,0.9680977960964098,utilization_file,hellinger_mean,ibm_torino,1000,0.2633744855967078,0.9427898432104734,d63s7crc4tus73ff0g40,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00021_TL-1-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00021_TL-1-4__W-STATE-4_utilization.json,3,True,True
22,22,BV-4,VQE-1-4,0.06015037593984962,0.6405635152043689,utilization_file,hellinger_mean,ibm_torino,1000,0.2962962962962963,0.919,d63s7gvs6ggc73fiad6g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00022_BV-4__VQE-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00022_BV-4__VQE-1-4_utilization.json,2,True,True
23,23,GHZ-4,TL-1-4,0.05155746509129967,0.9366799590132149,utilization_file,hellinger_mean,ibm_torino,1000,0.2539682539682539,0.9532412640712348,d63s7kns6ggc73fiadbg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00023_GHZ-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00023_GHZ-4__TL-1-4_utilization.json,5,False,True
24,24,HS-1-4,QAOA-R3-4,0.040100250626566414,0.9862706953914055,utilization_file,hellinger_mean,ibm_torino,1000,0.1975308641975308,0.9894118828690044,d63s7oao8gvs73f3p600,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00024_HS-1-4__QAOA-R3-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00024_HS-1-4__QAOA-R3-4_utilization.json,3,False,False
25,25,TL-1-4,VQE-1-4,0.05585392051557465,0.9430635245831116,utilization_file,hellinger_mean,ibm_torino,1000,0.2751322751322751,0.9536676713679556,d63s7sbc4tus73ff0gp0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00025_TL-1-4__VQE-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00025_TL-1-4__VQE-1-4_utilization.json,3,True,True
26,26,QAOA-P1-4,W-STATE-4,0.05263157894736842,0.9650852954770273,utilization_file,hellinger_mean,ibm_torino,1000,0.2592592592592592,0.9293087518508504,d63s81jtraac73bhlsd0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00026_QAOA-P1-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00026_QAOA-P1-4__W-STATE-4_utilization.json,4,True,True
27,27,HS-1-4,QAOA-P1-4,0.047619047619047616,0.9848229097766836,utilization_file,hellinger_mean,ibm_torino,1000,0.2345679012345679,0.9879184477459484,d63s87jtraac73bhlsm0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00027_HS-1-4__QAOA-P1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00027_HS-1-4__QAOA-P1-4_utilization.json,3,True,True
28,28,QAOA-P1-4,QAOA-R3-4,0.0472610096670247,0.9856711956156476,utilization_file,hellinger_mean,ibm_torino,1000,0.2328042328042328,0.9890504645233992,d63s8cfs6ggc73fiae6g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00028_QAOA-P1-4__QAOA-R3-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00028_QAOA-P1-4__QAOA-R3-4_utilization.json,3,True,False
29,29,HS-1-4,TL-1-4,0.06015037593984962,0.9864967424575293,utilization_file,hellinger_mean,ibm_torino,1000,0.2962962962962963,0.985218031207796,d63s8ibtraac73bhlt2g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00029_HS-1-4__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00029_HS-1-4__TL-1-4_utilization.json,1,True,True
30,30,QAOA-R3-4,QSVM-4,0.04582885785893305,0.9818096402069738,utilization_file,hellinger_mean,ibm_torino,1000,0.2257495590828924,0.9843936801654508,d63s8n3traac73bhlt8g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00030_QAOA-R3-4__QSVM-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00030_QAOA-R3-4__QSVM-4_utilization.json,4,False,False
31,31,BV-4,W-STATE-4,0.05012531328320802,0.6612499999999998,utilization_file,hellinger_mean,ibm_torino,1000,0.2469135802469135,0.917,d63s8sjtraac73bhltgg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00031_BV-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00031_BV-4__W-STATE-4_utilization.json,8,True,True
32,32,GHZ-4,HS-1-4,0.05155746509129967,0.9267285503864775,utilization_file,hellinger_mean,ibm_torino,1000,0.2539682539682539,0.9516792001655504,d63s91rtraac73bhltm0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00032_GHZ-4__HS-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00032_GHZ-4__HS-1-4_utilization.json,6,False,True
33,33,GHZ-4,QSVM-4,0.04374572795625427,0.9212760693956299,utilization_file,hellinger_mean,ibm_torino,1000,0.2154882154882154,0.9481395726108512,d63s977s6ggc73fiaf70,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00033_GHZ-4__QSVM-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00033_GHZ-4__QSVM-4_utilization.json,7,False,False
34,34,GHZ-4,QAOA-R3-4,0.0372359470103831,0.9271842423216505,utilization_file,hellinger_mean,ibm_torino,1000,0.18342151675485,0.9534379673464752,d63s9bbc4tus73ff0ihg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00034_GHZ-4__QAOA-R3-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00034_GHZ-4__QAOA-R3-4_utilization.json,7,True,False
35,35,QAOA-R3-4,W-STATE-4,0.042964554242749725,0.9620762230851206,utilization_file,hellinger_mean,ibm_torino,1000,0.2116402116402116,0.9492135150815372,d63s9f3c4tus73ff0im0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util30/fidelity/pair_00035_QAOA-R3-4__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util30_00035_QAOA-R3-4__W-STATE-4_utilization.json,5,True,False
